lizard_id,trt,batch,sex,day_eut,number_flow,plate,duplicate,well_number,tube.no,date_plate,type,tube.dam,plate.dam
3103,B_23,20,m,1,1,1,A,13,B01,30/4/2024,sample,B01,1
3103,B_23,20,m,1,1,1,B,14,B02,30/4/2024,sample,B02,1
3065,A_23,17,f,1,2,1,A,15,B03,30/4/2024,sample,B03,1
3065,A_23,17,f,1,2,1,B,16,B04,30/4/2024,sample,B04,1
3040,A_28,14,f,1,3,1,A,17,B05,30/4/2024,sample,B05,1
3040,A_28,14,f,1,3,1,B,18,B06,30/4/2024,sample,B06,1
3051,B_28,3,f,1,4,1,A,19,B07,30/4/2024,sample,B07,1
3051,B_28,3,f,1,4,1,B,20,B08,30/4/2024,sample,B08,1
2997,A_28,4,m,1,5,1,A,21,B09,30/4/2024,sample,B09,1
2997,A_28,4,m,1,5,1,B,22,B10,30/4/2024,sample,B10,1
2970,B_28,8,f,1,6,1,A,23,B11,30/4/2024,sample,B11,1
2970,B_28,8,f,1,6,1,B,24,B12,30/4/2024,sample,B12,1
2967,B_23,7,m,1,7,1,A,25,C01,30/4/2024,sample,C01,1
2967,B_23,7,m,1,7,1,B,26,C02,30/4/2024,sample,C02,1
3025,A_23,11,m,1,8,1,A,27,C03,30/4/2024,sample,C03,1
3025,A_23,11,m,1,8,1,B,28,C04,30/4/2024,sample,C04,1
3034,B_23,15,f,1,9,1,A,29,C05,30/4/2024,sample,C05,1
3034,B_23,15,f,1,9,1,B,30,C06,30/4/2024,sample,C06,1
3154,A_28,10,f,1,10,1,A,31,C07,30/4/2024,sample,C07,1
3154,A_28,10,f,1,10,1,B,32,C08,30/4/2024,sample,C08,1
3041,B_28,13,m,1,11,1,A,33,C09,30/4/2024,sample,C09,1
3041,B_28,13,m,1,11,1,B,34,C10,30/4/2024,sample,C10,1
2926,A_23,1,f,1,12,1,A,35,C11,30/4/2024,sample,C11,1
2926,A_23,1,f,1,12,1,B,36,C12,30/4/2024,sample,C12,1
2982,A_28,19,f,1,13,1,A,37,D01,30/4/2024,sample,D01,1
2982,A_28,19,f,1,13,1,B,38,D02,30/4/2024,sample,D02,1
2930,B_23,12,f,1,14,1,A,39,D03,30/4/2024,sample,D03,1
2930,B_23,12,f,1,14,1,B,40,D04,30/4/2024,sample,D04,1
2950,B_28,16,m,1,15,1,A,41,D05,30/4/2024,sample,D05,1
2950,B_28,16,m,1,15,1,B,42,D06,30/4/2024,sample,D06,1
3042,A_23,2,f,1,16,1,A,43,D07,30/4/2024,sample,D07,1
3042,A_23,2,f,1,16,1,B,44,D08,30/4/2024,sample,D08,1
3100,B_23,18,f,1,17,1,A,45,D09,30/4/2024,sample,D09,1
3100,B_23,18,f,1,17,1,B,46,D10,30/4/2024,sample,D10,1
2951,B_28,5,f,1,18,1,A,47,D11,30/4/2024,sample,D11,1
2951,B_28,5,f,1,18,1,B,48,D12,30/4/2024,sample,D12,1
3009,A_23,7,f,1,19,1,A,49,E01,30/4/2024,sample,E01,1
3009,A_23,7,f,1,19,1,B,50,E02,30/4/2024,sample,E02,1
3159,A_28,6,m,1,20,1,A,51,E03,30/4/2024,sample,E03,1
3159,A_28,6,m,1,20,1,B,52,E04,30/4/2024,sample,E04,1
NEG,NA,NA,NA,1,,1,1,1,A01,30/4/2024,control,A01,1
NEG,NA,NA,NA,1,,1,2,2,A02,30/4/2024,control,A02,1
DR,NA,NA,NA,1,,1,1,3,A03,30/4/2024,control,A03,1
DR,NA,NA,NA,1,,1,2,4,A04,30/4/2024,control,A04,1
MTO,NA,NA,NA,1,,1,1,5,A05,30/4/2024,control,A05,1
MTO,NA,NA,NA,1,,1,2,6,A06,30/4/2024,control,A06,1
SOX,NA,NA,NA,1,,1,1,7,A07,30/4/2024,control,A07,1
SOX,NA,NA,NA,1,,1,2,8,A08,30/4/2024,control,A08,1
H42,NA,NA,NA,1,,1,1,9,A09,30/4/2024,control,A09,1
H42,NA,NA,NA,1,,1,2,10,A10,30/4/2024,control,A10,1
POS,NA,NA,NA,1,,1,1,11,A11,30/4/2024,control,A11,1
POS,NA,NA,NA,1,,1,2,12,A12,30/4/2024,control,A12,1
3024,A_28,14,f,2,21,2,A,13,B01,30/4/2024,sample,E05,1
3024,A_28,14,f,2,21,2,B,14,B02,30/4/2024,sample,E06,1
2851,B_23,14,f,2,22,2,A,15,B03,30/4/2024,sample,E07,1
2851,B_23,14,f,2,22,2,B,16,B04,30/4/2024,sample,E08,1
2961,B_28,15,m,2,23,2,A,17,B05,30/4/2024,sample,E09,1
2961,B_28,15,m,2,23,2,B,18,B06,30/4/2024,sample,E10,1
2904,A_23,12,f,2,24,2,A,19,B07,30/4/2024,sample,E11,1
2904,A_23,12,f,2,24,2,B,20,B08,30/4/2024,sample,E12,1
2960,B_23,5,m,2,25,2,A,21,B09,30/4/2024,sample,F01,1
2960,B_23,5,m,2,25,2,B,22,B10,30/4/2024,sample,F02,1
2984,A_28,3,m,2,26,2,A,23,B11,30/4/2024,sample,F03,1
2984,A_28,3,m,2,26,2,B,24,B12,30/4/2024,sample,F04,1
2908,A_23,1,m,2,27,2,A,25,C01,30/4/2024,sample,F05,1
2908,A_23,1,m,2,27,2,B,26,C02,30/4/2024,sample,F06,1
3198,B_28,8,m,2,28,2,A,27,C03,30/4/2024,sample,F07,1
3198,B_28,8,m,2,28,2,B,28,C04,30/4/2024,sample,F08,1
3195,B_28,20,m,2,29,2,A,29,C05,30/4/2024,sample,F09,1
3195,B_28,20,m,2,29,2,B,30,C06,30/4/2024,sample,F10,1
2924,B_23,20,m,2,30,2,A,31,C07,30/4/2024,sample,F11,1
2924,B_23,20,m,2,30,2,B,32,C08,30/4/2024,sample,F12,1
