experiment,plate,specimen,tube,tube.no,.no,n,min,median,max,geo.mean,arith.mean,sd,se,r.sd,r.se,comp
medial cortex,1,Specimen_001,A1,A01,1,7448,1.9722028525087185,2.7605732631450994,3.4671935821797764,2.7575629255505185,2.8713175566904163,0.32130403693492365,0.0037230283919024525,0.5310457974238608,0.006153357424544125,2.788288840269772
medial cortex,1,Specimen_001,A10,A10,10,4791,1.7737864561374357,2.682145076373832,3.3635743861912344,2.6557927825743772,2.7823080879165354,0.3517877386003493,0.005082385611540429,0.5415096444588245,0.00782335631269546,-0.13805428230880423
medial cortex,1,Specimen_001,A11,A11,11,9888,1.7435097766901766,2.44870631990508,3.1012657765936695,2.451055109951073,2.5501519428693857,0.2981231068820157,0.0029980675217523745,0.4709222078062664,0.004735817331511448,-0.3388726604052869
medial cortex,1,Specimen_001,A12,A12,12,4554,1.7737864561374357,2.738939040874122,3.458819074573182,2.702628394184325,2.8420538540854645,0.3737890031765197,0.005538982680806397,0.5636657047481263,0.008352665674570403,-0.09028650605747512
medial cortex,1,Specimen_002,B1,B01,13,7295,0.9138138675364784,1.704150536484486,2.561339956015316,1.7111041571081593,1.8702944603985294,0.3764654333221553,0.004407704365930391,0.5855745306654967,0.006855979824270504,-1.07339964094926
medial cortex,1,Specimen_002,B2,B02,14,7144,0.9138138675364784,1.6830470451131316,2.498861680588562,1.684089441893573,1.8275740416962838,0.35914059727952136,0.004249068941791985,0.5415507107358024,0.006407201866966666,-1.1035682828342332
medial cortex,1,Specimen_002,B3,B03,15,15892,1.0253058808940338,1.9722028525087185,2.78404642452473,1.965390775384569,2.126056435603567,0.38768492657557174,0.003075315219344661,0.597503149617334,0.004739700730320682,-0.8293675317332386
medial cortex,1,Specimen_002,B4,B04,16,14851,1.0569048731351822,2.0799044842061742,2.9608511479181474,2.0677838900509826,2.2496046670609626,0.41340245927925623,0.0033923074552970126,0.6475053494224561,0.005313314362038467,-0.7207528944985228
medial cortex,1,Specimen_002,B5,B05,17,17412,1.086359823884986,2.0884904647771694,2.9185545305502734,2.0698773294207697,2.228348945409537,0.3891074819423068,0.00294879955584536,0.5940692555292916,0.004502075231506079,-0.71877896938525
medial cortex,1,Specimen_002,B6,B06,18,14056,1.0569048731351822,2.06520614516311,2.9018940253287386,2.049623035037658,2.2213106105037106,0.40379980570510243,0.003405926184395993,0.6277993564335095,0.005295292955602391,-0.7391991606290919
medial cortex,1,Specimen_002,B7,B07,19,13005,0.9912260841450559,2.0277571984740357,2.9079485216122722,2.0158952848639866,2.211427849633699,0.43204986245392507,0.0037885994592800416,0.696345912114613,0.0061061835111465455,-0.7730711901943311
medial cortex,1,Specimen_001,A2,A02,2,5277,1.9334873032958098,2.7914099413773745,3.4365124792382606,2.777153239926832,2.881612231370958,0.3170598849564466,0.004364633187692079,0.4849752335337628,0.006676148891497095,-0.01246647159883162
medial cortex,1,Specimen_002,B8,B08,20,12609,0.9912260841450559,1.9867717342662448,2.8063156780890357,1.9732844223745232,2.149583625383044,0.4097335321394046,0.003648893478142827,0.6367685422071685,0.005670760136750834,-0.8142478075308772
medial cortex,1,Specimen_002,B9,B09,21,10948,0.9542425094393249,2.06520614516311,2.9378187030509277,2.0490752769701843,2.2523306024823357,0.4446072862410001,0.004249219651312803,0.721007345053421,0.006890842040049641,-0.7374689383656841
medial cortex,1,Specimen_002,B10,B10,22,12944,0.9542425094393249,2.0996806516447157,2.9728505671341074,2.0633323942352986,2.2690231803141443,0.4520158922342768,0.003973008115031182,0.7212622310049224,0.006339557405125129,-0.7206727852825049
medial cortex,1,Specimen_002,B11,B11,23,10501,0.9138138675364784,1.8129133566428555,2.610873013367426,1.8133540125365017,1.9842118181016648,0.4004923092159136,0.003908218636572882,0.6471201705334663,0.0063149455117691945,-0.9753482627763133
medial cortex,1,Specimen_002,B12,B12,24,12069,0.9542425094393249,1.945468607671982,2.7617775283329506,1.9348552713879128,2.121997942584961,0.42517127752365547,0.0038701542470582027,0.7071365175794939,0.006436764526286612,-0.8551808422218624
medial cortex,1,Specimen_002,C1,C01,25,34068,1.2504200302308364,2.1264561233373467,2.8926510338773004,2.12203949366346,2.2514350429087924,0.34568064622880923,0.0018728446120116536,0.5274686040106883,0.002857743827442535,-0.6666661698429294
medial cortex,1,Specimen_002,C2,C02,26,23796,1.1398790924037798,2.1159431972355565,2.980185248045192,2.1107805379241045,2.2713827414290266,0.38587888343739096,0.002501491509046261,0.5871978863960579,0.003806558456542167,-0.6852822506347669
medial cortex,1,Specimen_002,C3,C03,27,15609,0.9912260841450559,1.843855441611149,2.5497387387401473,1.8208129585753625,1.9526510153405467,0.3542260008653665,0.002835260031872847,0.5562399518181588,0.004452199724661993,-0.9664164718925888
medial cortex,1,Specimen_002,C4,C04,28,13309,0.9912260841450559,1.8536982210574178,2.6242820958356683,1.8463421135006073,1.9969780745320078,0.3750618236505576,0.003251098654994011,0.5995498978133219,0.00519699885051148,-0.9441649520122258
medial cortex,1,Specimen_002,C5,C05,29,8790,0.9542425094393249,1.672082146837809,2.371806475398175,1.657672711786267,1.7722652921933253,0.32521733303094086,0.0034687998879358206,0.5196378055048986,0.005542507666192312,-1.133339025055671
medial cortex,1,Specimen_001,A3,A03,3,11458,2.046885196786371,2.8511359875426443,3.5268818001787716,2.8409885151717207,2.950868477838515,0.31869371240509675,0.0029772759295660653,0.5333384083696633,0.004982513127004135,0.05345987189340601
medial cortex,1,Specimen_002,C6,C06,30,10730,0.9138138675364784,1.645422276845481,2.3537239434585753,1.6315693224386432,1.753289864138134,0.3356648341258037,0.003240454918253357,0.5439914567231057,0.005251606996655253,-1.1558676028832073
medial cortex,1,Specimen_002,C7,C07,31,43769,1.287801721390525,2.2003031996948454,3.0312468263658476,2.2054193469918477,2.347854078642607,0.3611756113418928,0.0017263748653992405,0.56015262006893,0.002677460420103301,-0.5813246238596931
medial cortex,1,Specimen_002,C8,C08,32,17813,1.1875207369731704,2.292698996288774,3.2453645936611886,2.2844489186283528,2.4605312246634576,0.40934610638999636,0.003067058996028676,0.633883647952965,0.004749424788805386,-0.49986354414310835
medial cortex,1,Specimen_002,C9,C09,33,16824,1.0253058808940338,2.0437551209769906,2.9088066190261266,2.027198141817432,2.2122574149555088,0.4178342338591468,0.003221360949747855,0.6599701199539961,0.005088146925598471,-0.765210836466235
medial cortex,1,Specimen_002,C10,C10,34,14063,0.9912260841450559,2.0941216118473434,3.0038911662369103,2.077023916695914,2.2858246437550194,0.4471831279529256,0.0037709122035693905,0.7170738283244908,0.006046789963805821,-0.71609711348644
medial cortex,1,Specimen_002,C11,C11,35,20727,1.1875207369731704,2.1684975104978266,3.023746193268625,2.1658280096204736,2.317357113156646,0.37527782811995275,0.0026066617718126304,0.5810093739439284,0.00403566320907277,-0.6214448939786503
medial cortex,1,Specimen_002,C12,C12,36,21317,1.3541084464779405,2.25382246087131,3.041787318971752,2.249005713431765,2.3725497870557253,0.3378223225850246,0.002313797251471006,0.5113515950231217,0.0035023260335380296,-0.5384339441825369
medial cortex,1,Specimen_002,D1,D01,37,19674,0.9542425094393249,1.6042260613267683,2.2046625034750504,1.5810698065287028,1.6717069229692918,0.2893839568108043,0.0020631372342886593,0.47039366626478857,0.0033536298913727646,-1.2059650940239277
medial cortex,1,Specimen_002,D2,D02,38,17751,0.9542425094393249,1.6127838567197355,2.2153731447117924,1.5939764433057146,1.687095751089347,0.29379447560540406,0.0022051199238235803,0.472248855362665,0.003544536900556812,-1.194024154232753
medial cortex,1,Specimen_002,D3,D03,39,24159,1.0253058808940338,1.802089268334111,2.4387005425537702,1.7763263864576382,1.8859870982680866,0.32207880984195075,0.0020721570884820266,0.5102632022628403,0.0032828782249889055,-1.012462408185604
medial cortex,1,Specimen_001,A4,A04,4,6478,2.0043213737826426,2.8981764447256984,3.5229395486129604,2.8686697901935165,2.9687542373178784,0.311135052767265,0.0038657028727375783,0.48764625133268563,0.00605876932827161,0.08000090266627623
medial cortex,1,Specimen_002,D4,D04,40,22077,1.0253058808940338,1.823474219220139,2.475089812266177,1.7999846333725436,1.9127777438138596,0.3268676293866765,0.0021998946548224176,0.5114282927280213,0.003442030554106587,-0.9900356633795235
medial cortex,1,Specimen_002,D5,D05,41,15399,0.9138138675364784,1.6294096224365489,2.299725173915881,1.615113910956119,1.729060286903346,0.3254457900509735,0.002622602062484525,0.514165333353532,0.00414339685727633,-1.166483984076921
medial cortex,1,Specimen_002,D6,D06,42,15048,0.9542425094393249,1.6757783556546921,2.3412366413612293,1.6623614467914083,1.777562487140053,0.3266361170956717,0.0026627157857379083,0.5232095616763076,0.00426516936189411,-1.13185775303007
medial cortex,1,Specimen_002,D7,D07,43,35774,1.1139433523068367,1.9722028525087185,2.720159303405957,1.9582942716759877,2.0893918188808045,0.35081008058941543,0.0018547625274370773,0.5449689854083928,0.002881297056950614,-0.831127230277045
medial cortex,1,Specimen_002,D8,D08,44,35031,1.2095150094293532,2.0342272791443246,2.738304812443656,2.0210576527146547,2.136201635583181,0.3280320551157607,0.001752629096221306,0.5102632022628403,0.002726264464310712,-0.7683977854434306
medial cortex,1,Specimen_002,D9,D09,45,21871,0.9542425094393249,1.7435097766901766,2.446226392290965,1.731201436747393,1.8618183063662566,0.3495440191304456,0.002363565027117565,0.5580468867548252,0.003773430620574611,-1.0614540143881994
medial cortex,1,Specimen_002,D10,D10,46,24487,0.9542425094393249,1.828659906367379,2.553640358456534,1.8079424078384296,1.9511912512576663,0.36919954994615234,0.0023593554371901474,0.5933807562435276,0.0037919767609991867,-0.9803168189243818
medial cortex,1,Specimen_002,D11,D11,47,19902,0.9912260841450559,1.7795964967618179,2.4620984085753532,1.7616189929883452,1.8865272325409492,0.3422282518407374,0.0024258698555824996,0.5510199740760131,0.003905880761582802,-1.0288847188107784
medial cortex,1,Specimen_002,D12,D12,48,21332,0.9912260841450559,1.796574349089362,2.493318599719824,1.779354315662258,1.9074843312998333,0.347142989485427,0.002376799851417778,0.5638223578388784,0.0038603484354498953,-1.0130726322384405
medial cortex,1,Specimen_002,E1,E01,49,26049,1.0253058808940338,1.9169800392976124,2.640481436970422,1.8968516439785152,2.0377605551617037,0.3663854880887697,0.002270088223932553,0.5797881258488692,0.0035923098475629436,-0.8989852894035204
medial cortex,1,Specimen_001,A5,A05,5,13094,2.07114530170203,2.8068580295188172,3.440940543856965,2.806149193642808,2.8970723362504978,0.2868614004088418,0.0025068938559477715,0.46143604744692707,0.004032509046560003,0.013488797234003988
medial cortex,1,Specimen_002,E2,E02,50,25017,0.9912260841450559,1.8536982210574178,2.56984189226665,1.834919426947722,1.9732046444343982,0.36224682946361736,0.0022902715525640782,0.5764414059333008,0.0036444966424797305,-0.9541948586974703
