season,lizard_id,species,trt,sex,current_enclosure,egg_id,clutch,egg_enclosure,egg_date,hatch_date,death_date,liz_status,mortality,notes,Maze
2023/24,LD2851_23,delicata,B_23,,E667_23,EG2851,CL786_24,E004_F120,24/11/2023,17/1/2024,,ALIVE,0,,4
2023/24,LD2873_23,delicata,A_23,,E607_23,EG2873,CL794_24,E036_F120,27/11/2023,19/1/2024,,ALIVE,0,,2
2023/24,LD2885_23,delicata,B_23,,E548_23,EG2885,CL797_24,E031,27/11/2023,15/1/2024,,ALIVE,0,,2
2023/24,LD2904_23,delicata,A_23,,E044_23,EG2904,CL802_24,E014_F120,29/11/2023,17/1/2024,,ALIVE,0,,1
2023/24,LD2908_23,delicata,A_23,,E448_23,EG2908,CL803_24,E038_F120,29/11/2023,19/1/2024,,ALIVE,0,,3
2023/24,LD2911_23,delicata,B_23,,E130_23,EG2911,CL803_24,E038_F120,29/11/2023,19/1/2024,,ALIVE,0,,3
2023/24,LD2919_23,delicata,B_23,,E745_23,EG2919,CL806_24,E014_M,29/11/2023,15/1/2024,,ALIVE,0,,3
2023/24,LD2922_23,delicata,A_23,,E660_23,EG2922,CL807_24,E011_M/E024_M,29/11/2023,19/1/2024,,ALIVE,0,,4
2023/24,LD2924_23,delicata,B_23,,E703_23,EG2924,CL807_24,E011_M/E024_M,29/11/2023,17/1/2024,,ALIVE,0,,1
2023/24,LD2925_23,delicata,B_28,,E884_23,EG2925,CL807_24,E011_M/E024_M,29/11/2023,1/1/2024,,ALIVE,0,,1
2023/24,LD2926_23,delicata,A_23,,E268_23,EG2926,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,1
2023/24,LD2928_23,delicata,A_23,,E1025_23,EG2928,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,2
2023/24,LD2929_23,delicata,B_28,,E632_23,EG2929,CL808_24,E013_M,29/11/2023,1/1/2024,,ALIVE,0,,2
2023/24,LD2930_23,delicata,B_23,,E532_23,EG2930,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,4
2023/24,LD2931_23,delicata,B_28,,E178_23,EG2931,CL808_24,E013_M,29/11/2023,1/1/2024,,ALIVE,0,,3
2023/24,LD2950_23,delicata,B_28,,E269_23,EG2950,CL813_24,E036_F120,1/12/2023,1/1/2024,,ALIVE,0,,4
2023/24,LD2951_23,delicata,B_28,,E115_23,EG2951,CL813_24,E036_F120,1/12/2023,1/1/2024,,ALIVE,0,,1
2023/24,LD2952_23,delicata,A_23,,E1026_23,EG2952,CL813_24,E036_F120,1/12/2023,19/1/2024,,ALIVE,0,,3
2023/24,LD2953_23,delicata,B_23,,E157_23,EG2953,CL813_24,E036_F120,1/12/2023,17/1/2024,,ALIVE,0,,2
