,n,mean_DNAdamage,mean_peroxidation,CV_DNAdamage,CV_peroxidation,plate.dam
Specimen_002_B1_B01_001.fcs,410,24321,11266,110,86.7,1
Specimen_002_B2_B02_002.fcs,522,16616,7769,155,126,1
Specimen_003_B3_B03_009.fcs,764,22468,12136,153,133,1
Specimen_003_B4_B04_010.fcs,689,20660,9603,139,117,1
Specimen_004_B5_B05_011.fcs,146,29273,12494,135,160,1
Specimen_004_B6_B06_012.fcs,476,38110,13604,135,119,1
Specimen_005_B7_B07_013.fcs,446,19721,8948,256,153,1
Specimen_005_B8_B08_014.fcs,415,20588,8142,174,107,1
Specimen_006_B9_B09_015.fcs,922,19245,8446,151,106,1
Specimen_006_B10_B10_016.fcs,487,21255,10469,195,113,1
Specimen_007_B11_B11_017.fcs,659,16871,8259,167,126,1
Specimen_007_B12_B12_018.fcs,396,25195,12536,180,104,1
Specimen_008_C1_C01_019.fcs,707,18227,8297,272,150,1
Specimen_008_C2_C02_020.fcs,133,9228,4670,138,108,1
Specimen_009_C3_C03_021.fcs,477,12592,6973,133,105,1
Specimen_009_C4_C04_022.fcs,897,21025,13211,121,80.3,1
Specimen_010_C5_C05_023.fcs,551,30221,12230,117,89.3,1
Specimen_010_C6_C06_024.fcs,894,13983,6525,130,90.8,1
Specimen_011_C7_C07_025.fcs,77,10676,6454,125,145,1
Specimen_011_C8_C08_026.fcs,151,10326,5550,171,124,1
Specimen_012_C9_C09_027.fcs,313,19163,10979,196,130,1
Specimen_012_C10_C10_028.fcs,670,23142,10804,161,112,1
Specimen_013_C11_C11_029.fcs,725,20106,10528,173,110,1
Specimen_013_C12_C12_030.fcs,922,19723,9945,132,116,1
Specimen_014_D1_D01_031.fcs,859,16870,8082,126,99.5,1
Specimen_014_D2_D02_032.fcs,207,9868,6232,147,126,1
Specimen_015_D3_D03_033.fcs,688,15470,11042,143,124,1
Specimen_015_D4_D04_034.fcs,887,17586,10959,142,104,1
Specimen_016_D5_D05_035.fcs,736,18877,9240,158,129,1
Specimen_016_D6_D06_036.fcs,657,13554,6617,180,122,1
Specimen_017_D7_D07_037.fcs,1217,24513,10170,104,87.4,1
Specimen_017_D8_D08_038.fcs,1192,19413,8570,91.9,90.2,1
Specimen_018_D9_D09_039.fcs,464,23500,11745,262,166,1
Specimen_018_D10_D10_040.fcs,1182,13811,7960,135,101,1
Specimen_019_D11_D11_041.fcs,873,16973,7775,103,78,1
Specimen_019_D12_D12_042.fcs,1632,22392,9752,110,80.1,1
Specimen_020_E1_E01_043.fcs,954,20990,10188,122,92.9,1
Specimen_020_E2_E02_044.fcs,608,14733,6985,117,106,1
Specimen_021_E3_E03_045.fcs,1107,18950,9873,133,93.7,1
Specimen_021_E4_E04_046.fcs,1070,18512,7901,142,97.9,1
Specimen_022_E5_E05_047.fcs,585,17396,8817,107,91.2,1
Specimen_022_E6_E06_048.fcs,406,13577,5959,133,92.4,1
Specimen_023_E7_E07_049.fcs,600,19021,8426,121,103,1
Specimen_023_E8_E08_050.fcs,822,20921,11986,124,90.8,1
Specimen_024_E9_E09_051.fcs,1020,23771,11143,104,88.5,1
Specimen_024_E10_E10_052.fcs,1235,19069,9526,114,95.5,1
Specimen_025_E11_E11_053.fcs,602,22806,9681,196,134,1
Specimen_025_E12_E12_054.fcs,443,25167,11416,229,136,1
Specimen_026_F1_F01_055.fcs,1116,24432,11222,117,99.4,1
Specimen_026_F2_F02_056.fcs,809,25133,11928,103,87.5,1
Specimen_027_F3_F03_057.fcs,716,20616,9566,106,97.6,1
Specimen_027_F4_F04_058.fcs,870,23468,10677,127,96.8,1
Specimen_028_F5_F05_059.fcs,899,20610,11540,113,94.9,1
Specimen_028_F6_F06_060.fcs,636,19349,8725,136,98.7,1
Specimen_029_F7_F07_061.fcs,661,13945,6723,126,105,1
Specimen_029_F8_F08_062.fcs,860,24383,9076,127,104,1
Specimen_030_F9_F09_063.fcs,551,23298,11731,125,110,1
Specimen_030_F10_F10_064.fcs,493,23049,9511,156,129,1
Specimen_031_F11_F11_065.fcs,699,20338,11121,145,118,1
Specimen_031_F12_F12_066.fcs,780,18895,9583,129,102,1
Specimen_032_G1_G01_067.fcs,531,28361,9693,223,160,1
Specimen_032_G2_G02_068.fcs,420,18747,8196,168,141,1
Specimen_033_G3_G03_069.fcs,645,32267,10418,182,110,1
Specimen_033_G4_G04_070.fcs,830,21841,11079,126,91.8,1
Specimen_034_G5_G05_071.fcs,685,16268,10877,149,95.1,1
Specimen_034_G6_G06_072.fcs,821,21157,9828,141,103,1
Specimen_035_G7_G07_073.fcs,734,17938,9081,160,109,1
Specimen_035_G8_G08_074.fcs,682,19203,8612,202,138,1
Specimen_036_G9_G09_075.fcs,429,26098,9068,159,124,1
Specimen_036_G10_G10_076.fcs,434,18117,7556,257,131,1
Specimen_037_G11_G11_077.fcs,279,27565,13725,155,77.8,1
Specimen_037_G12_G12_078.fcs,410,40417,17860,113,88.7,1
Specimen_038_H1_H01_079.fcs,871,19456,10916,119,101,1
Specimen_038_H2_H02_080.fcs,802,21448,10153,122,95.3,1
Specimen_039_H3_H03_081.fcs,743,15842,9451,127,111,1
Specimen_039_H4_H04_082.fcs,404,24738,9838,199,137,1
Specimen_040_H5_H05_083.fcs,732,21564,10935,158,110,1
Specimen_040_H6_H06_084.fcs,917,23667,8875,164,105,1
Specimen_041_H7_H07_085.fcs,715,43507,13075,118,97,1
Specimen_041_H8_H08_086.fcs,351,26896,11501,137,96.8,1
Mean,680,20914,9775,148,110,1
SD,283,6043,2148,38.8,20.2,1
