plate,specimen,tube,tube.no,.no,ch,n,min,median,max,geo.mean,arith.mean,sd,se
1,Specimen_001,A1,A01,1,alexa.fluor.488,7448,1.972202853,2.760573263,3.467193582,2.757562926,2.871317557,0.321304037,0.003723028
1,Specimen_001,A1,A01,1,apc,7448,0.934498446,1.689131207,2.458668043,1.675609874,1.796974826,0.334817499,0.003879612
1,Specimen_001,A1,A01,1,buv.496,7448,1.564666073,2.268226866,2.953566432,2.272184297,2.379825652,0.310702374,0.003600184
1,Specimen_001,A1,A01,1,fsc,7448,2.168850916,2.968921721,3.755278638,2.961903076,3.099842535,0.353477426,0.004095829
1,Specimen_001,A1,A01,1,pe,7448,1.169086364,1.699143691,2.231520556,1.681197328,1.739252473,0.229682016,0.002661382
1,Specimen_001,A1,A01,1,percp.cy5.5,7448,1.36921585,2.177824989,2.937818703,2.170788261,2.292708758,0.335548197,0.003888079
1,Specimen_001,A1,A01,1,ssc,7448,1.95712819,2.716170358,3.496514519,2.720876812,2.860056168,0.352551838,0.004085104
1,Specimen_001,A10,A10,10,alexa.fluor.488,4791,1.773786456,2.682145076,3.363574386,2.655792783,2.782308088,0.351787739,0.005082386
1,Specimen_001,A10,A10,10,apc,4791,0.934498446,1.695831767,2.368398462,1.681273583,1.798985289,0.332459588,0.004803146
1,Specimen_001,A10,A10,10,buv.496,4791,2.185117027,3.012984765,3.797721013,2.990527267,3.125771217,0.35782202,0.005169565
1,Specimen_001,A10,A10,10,fsc,4791,2.214896819,3.064936957,3.778036901,3.046686362,3.173427562,0.344744559,0.004980631
1,Specimen_001,A10,A10,10,pe,4791,1.085647299,1.617210115,2.125286041,1.594385375,1.659071706,0.243087883,0.003511965
1,Specimen_001,A10,A10,10,percp.cy5.5,4791,1.25042003,2.094121612,2.78118073,2.074196495,2.198980209,0.345094083,0.00498568
1,Specimen_001,A10,A10,10,ssc,4791,2.091315165,2.854063034,3.551767075,2.845561699,2.964274756,0.329799816,0.004764719
1,Specimen_001,A11,A11,11,alexa.fluor.488,9888,1.743509777,2.44870632,3.101265777,2.45105511,2.550151943,0.298123107,0.002998068
1,Specimen_001,A11,A11,11,apc,9888,1.347915163,2.173768814,3.062175717,2.166798469,2.316181951,0.365265427,0.003673283
1,Specimen_001,A11,A11,11,buv.496,9888,1.533390727,2.384532632,3.384138284,2.374277773,2.542373298,0.391744396,0.003939568
1,Specimen_001,A11,A11,11,fsc,9888,2.172719695,2.861139978,3.588515984,2.876395163,2.98954731,0.314036552,0.003158101
1,Specimen_001,A11,A11,11,pe,9888,1.019531686,1.804684533,2.578111788,1.79109381,1.939511011,0.370051229,0.003721411
1,Specimen_001,A11,A11,11,percp.cy5.5,9888,2.316808771,3.005094649,3.678573013,3.003411569,3.09797267,0.290659175,0.002923007
1,Specimen_001,A11,A11,11,ssc,9888,1.990338868,2.675595073,3.460025365,2.690122611,2.798740414,0.305958772,0.003076867
1,Specimen_001,A12,A12,12,alexa.fluor.488,4554,1.773786456,2.738939041,3.458819075,2.702628394,2.842053854,0.373789003,0.005538983
1,Specimen_001,A12,A12,12,apc,4554,0.971275833,1.763427994,2.454051756,1.74655548,1.871174776,0.341824095,0.005065312
1,Specimen_001,A12,A12,12,buv.496,4554,2.226471047,3.061094208,3.837108454,3.044007782,3.176583465,0.35291161,0.005229612
