"","season","lizard_id","tc","species","trt","sex","current_enclosure","egg_id","clutch","egg_enclosure","egg_date","egg_mass","egg_length","egg_width","hatch_date","hatch_mass","hatch_svl","hatch_tl","rm1_date","rm1_mass","rm1_svl","rm1_tl","death_date","liz_status","mortality","notes","tissue_box","mating_enclosure","post_extract_mass","yolk_reduction","hatch_total","feeding_expt","metabolism","behaviour","feed_date_start","metab_start_date","growth","thanatosis","rm_notes","cohort","mesocosm","X","X.1"
"1","2023/24","LD2851_23","","delicata","B_23","","E667_23","EG2851","CL786_24","E004_F120","24/11/2023",0.14,7.87,5.34,"17/1/2024",0.111,19,25,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"2","2023/24","LD2873_23","","delicata","A_23","","E607_23","EG2873","CL794_24","E036_F120","27/11/2023",0.106,7.07,4.97,"19/1/2024",0.088,17,23,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"3","2023/24","LD2875_23","","delicata","B_28","","E101_23","EG2875","CL794_24","E036_F120","27/11/2023",0.1,7.78,5.02,"1/1/2024",NA,NA,NA,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"4","2023/24","LD2904_23","","delicata","A_23","","E044_23","EG2904","CL802_24","E014_F120","29/11/2023",0.111,7.5,4.91,"17/1/2024",0.098,18,25,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"5","2023/24","LD2908_23","","delicata","A_23","","E448_23","EG2908","CL803_24","E038_F120","29/11/2023",0.142,8.32,5.33,"19/1/2024",0.11,18,25,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"6","2023/24","LD2911_23","","delicata","B_23","","E130_23","EG2911","CL803_24","E038_F120","29/11/2023",0.13,7.51,5.5,"19/1/2024",0.104,18,24,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"7","2023/24","LD2922_23","","delicata","A_23","","E660_23","EG2922","CL807_24","E011_M/E024_M","29/11/2023",0.176,8.92,5.83,"19/1/2024",0.124,19,22,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"8","2023/24","LD2924_23","","delicata","B_23","","E703_23","EG2924","CL807_24","E011_M/E024_M","29/11/2023",0.19,8.97,5.93,"17/1/2024",0.123,18,26,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"9","2023/24","LD2925_23","","delicata","B_28","","E884_23","EG2925","CL807_24","E011_M/E024_M","29/11/2023",0.194,9.31,6.16,"1/1/2024",0.122,20,27,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"10","2023/24","LD2926_23","","delicata","A_23","","E268_23","EG2926","CL808_24","E013_M","29/11/2023",0.151,8.35,5.24,"19/1/2024",0.095,18,25,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
"11","2023/24","LD2928_23","","delicata","A_23","","E1025_23","EG2928","CL808_24","E013_M","29/11/2023",0.145,7.51,5.63,"19/1/2024",0.107,19,25,"",NA,NA,NA,"","ALIVE",0,"","","",NA,"",NA,NA,NA,NA,"","","",NA,"",NA,"",NA,""
