"","lizard_id","trt","sex","current_enclosure","egg_id","clutch","egg_enclosure","egg_date","hatch_date","death_date","liz_status","mortality","notes","maze","group","day","batch","choice","errors","arm_chosen","obs","temp","cort","first_non_na"
"1",2959,"A_23",NA,"E1023_23","EG2959","CL815_24","E017_M, E007_M","1/12/2023","19/1/2024",NA,"ALIVE",0,"Might be two clutches.",4,"A",1,1,1,0,"S","","Cold","Control",1
"2",3051,"B_28",NA,"E296_23","EG3051","CL836_24","E008_F120","6/12/2023","5/1/2024",NA,"ALIVE",0,"",3,"C",1,3,1,0,"SW","","Hot","CORT",1
"3",3086,"A_28",NA,"E234_23","EG3086","CL848_24","E011_M/E024_M","8/12/2023","8/1/2024",NA,"ALIVE",0,"",2,"F",1,6,1,0,"NW","","Hot","Control",1
"4",2967,"B_23",NA,"E621_23","EG2967","CL817_24","E018_M","1/12/2023","22/1/2024",NA,"ALIVE",0,"Might be two clutches.",4,"G",1,7,1,0,"S","","Cold","CORT",1
"5",3198,"B_28",NA,"E765_23","EG3198","CL874_24","E040_F120","15/12/2023","15/1/2024",NA,"ALIVE",0,"",4,"H",1,8,1,0,"S","","Hot","CORT",1
"6",3157,"B_28",NA,"E701_23","EG3157","CL865_24","E018_M","13/12/2023","12/1/2024",NA,"ALIVE",0,"",3,"I",1,9,1,0,"SW","","Hot","CORT",1
"7",3154,"A_28",NA,"E510_23","EG3154","CL865_24","E018_M","13/12/2023","12/1/2024",NA,"ALIVE",0,"",1,"J",1,10,1,0,"SE","","Hot","Control",1
"8",2958,"B_23",NA,"E493_23","EG2958","CL815_24","E017_M, E007_M","1/12/2023","22/1/2024",NA,"ALIVE",0,"Might be two clutches.",2,"K",1,11,1,0,"NW","","Cold","CORT",1
"9",2930,"B_23",NA,"E532_23","EG2930","CL808_24","E013_M","29/11/2023","19/1/2024",NA,"ALIVE",0,"",4,"L",1,12,1,0,"S","","Cold","CORT",1
"10",3093,"A_23",NA,"E073_23","EG3093","CL849_24","E014_F120","8/12/2023","19/1/2024",NA,"ALIVE",0,"",3,"M",1,13,1,0,"SW","","Cold","Control",1
"11",2851,"B_23",NA,"E667_23","EG2851","CL786_24","E004_F120","24/11/2023","17/1/2024",NA,"ALIVE",0,"",4,"N",1,14,1,0,"S","","Cold","CORT",1
"12",2961,"B_28",NA,"E123_23","EG2961","CL815_24","E017_M, E007_M","1/12/2023","1/1/2024",NA,"ALIVE",0,"Might be two clutches. Where?",2,"O",1,15,1,0,"NW","Tail lost","Hot","CORT",1
"13",3065,"A_23",NA,"E055_23","EG3065","CL842_24","E010_F120","6/12/2023","22/1/2024",NA,"ALIVE",0,"",1,"Q",1,17,1,0,"SE","","Cold","Control",1
"14",3103,"B_23",NA,"E2001_23","EG3103","CL851_24","E012_M","8/12/2023","26/1/2024",NA,"ALIVE",0,"",4,"T",1,20,1,0,"S","","Cold","CORT",1
"15",3158,"B_23",NA,"E3001_23","EG3158","CL865_24","E018_M","13/12/2023","28/1/2024",NA,"ALIVE",0,"",2,"A",1,1,1,0,"NW","","Cold","CORT",1
"16",2984,"A_28",NA,"E564_23","EG2984","CL820_24","E050_F120","4/12/2023","5/1/2024",NA,"ALIVE",0,"",2,"C",1,3,1,0,"NW","","Hot","Control",1
"17",2997,"A_28",NA,"E510_23","EG2997","CL822_24","E051_F120","4/12/2023","8/1/2024",NA,"ALIVE",0,"Dented",4,"D",1,4,1,0,"S","Tail lost","Hot","Control",1
"18",3079,"A_28",NA,"E820_23","EG3079","CL846_24","E050_F120","8/12/2023","8/1/2024",NA,"ALIVE",0,"",1,"F",1,6,1,0,"SE","","Hot","Control",1
"19",3086,"A_28",NA,"E234_23","EG3086","CL848_24","E011_M/E024_M","8/12/2023","8/1/2024",NA,"ALIVE",0,"",2,"F",1,6,1,0,"NW","","Hot","Control",1
"20",3198,"B_28",NA,"E765_23","EG3198","CL874_24","E040_F120","15/12/2023","15/1/2024",NA,"ALIVE",0,"",4,"H",1,8,1,0,"S","","Hot","CORT",1
"21",3078,"A_23",NA,"E201_23","EG3078","CL846_24","E050_F120","8/12/2023","24/1/2024",NA,"ALIVE",0,"",1,"K",1,11,1,0,"SE","","Cold","Control",1
"22",3025,"A_23",NA,"E098_23","EG3025","CL830_24","E015_M","4/12/2023","19/1/2024",NA,"ALIVE",0,"",4,"K",1,11,1,0,"S","","Cold","Control",1
"23",2885,"B_23",NA,"E548_23","EG2885","CL797_24","E031","27/11/2023","15/1/2024",NA,"ALIVE",0,"",2,"N",1,14,1,0,"NW","","Cold","CORT",1
"24",3065,"A_23",NA,"E055_23","EG3065","CL842_24","E010_F120","6/12/2023","22/1/2024",NA,"ALIVE",0,"",1,"Q",1,17,1,0,"SE","","Cold","Control",1
"25",3031,"A_23",NA,"E720_23","EG3031","CL831_24","E033_F120","4/12/2023","22/1/2024",NA,"ALIVE",0,"",4,"Q",1,17,1,0,"S","","Cold","Control",1
"26",3100,"B_23",NA,"E625_23","EG3100","CL851_24","E012_M","8/12/2023","28/1/2024",NA,"ALIVE",0,"",1,"R",1,18,1,0,"SE","","Cold","CORT",1
"27",3103,"B_23",NA,"E2001_23","EG3103","CL851_24","E012_M","8/12/2023","26/1/2024",NA,"ALIVE",0,"",4,"T",1,20,1,0,"S","","Cold","CORT",1
"28",2959,"A_23",NA,"E1023_23","EG2959","CL815_24","E017_M, E007_M","1/12/2023","19/1/2024",NA,"ALIVE",0,"Might be two clutches.",4,"A",1,20,1,0,"S","","Cold","Control",1
