"","lizard_id","trt","sex","current_enclosure","egg_id","clutch","egg_enclosure","egg_date","hatch_date","start_date","age","death_date","liz_status","mortality","notes","maze","group","day","batch","choice","errors","arm_chosen","obs","temp","cort"
"1",2851,"B_23","f","E667_23","EG2851","CL786_24","E004_F120","24/11/2023","17/1/2024","17/3/2024",60,NA,"ALIVE",0,"",4,"N",1,14,1,0,"S","","Cold","CORT"
"2",2873,"A_23","m","E607_23","EG2873","CL794_24","E036_F120","27/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",2,"G",1,7,0,4,"N","","Cold","Control"
"3",2885,"B_23","f","E548_23","EG2885","CL797_24","E031","27/11/2023","15/1/2024","17/3/2024",62,NA,"ALIVE",0,"",2,"N",1,14,0,17,"N","","Cold","CORT"
"4",2904,"A_23","f","E044_23","EG2904","CL802_24","E014_F120","29/11/2023","17/1/2024","17/3/2024",60,NA,"ALIVE",0,"",1,"L",1,12,0,3,"NE","","Cold","Control"
"5",2908,"A_23","m","E448_23","EG2908","CL803_24","E038_F120","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",3,"A",1,1,0,1,"NE","","Cold","Control"
"6",2911,"B_23","f","E130_23","EG2911","CL803_24","E038_F120","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",3,"K",1,11,0,2,"SE","","Cold","CORT"
"7",2919,"B_23","f","E745_23","EG2919","CL806_24","E014_M","29/11/2023","15/1/2024","17/3/2024",62,NA,"ALIVE",0,"",3,"P",1,16,0,3,"N","","Cold","CORT"
"8",2922,"A_23","f","E660_23","EG2922","CL807_24","E011_M/E024_M","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",4,"J",1,10,0,2,"N","Tail lost","Cold","Control"
"9",2924,"B_23","m","E703_23","EG2924","CL807_24","E011_M/E024_M","29/11/2023","17/1/2024","17/3/2024",60,NA,"ALIVE",0,"",1,"T",1,20,0,2,"NW","","Cold","CORT"
"10",2925,"B_28",NA,"E884_23","EG2925","CL807_24","E011_M/E024_M","29/11/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",1,"H",1,8,0,10,"S","","Hot","CORT"
"11",2926,"A_23","f","E268_23","EG2926","CL808_24","E013_M","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",1,"A",1,1,0,12,NA,"","Cold","Control"
"12",2928,"A_23","m","E1025_23","EG2928","CL808_24","E013_M","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",2,"S",1,19,0,3,"SW","Tail lost","Cold","Control"
"13",2930,"B_23","f","E532_23","EG2930","CL808_24","E013_M","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",4,"L",1,12,1,0,"S","","Cold","CORT"
"14",2931,"B_28","f","E178_23","EG2931","CL808_24","E013_M","29/11/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",3,"D",1,4,0,9,"S","","Hot","CORT"
"15",2950,"B_28","m","E269_23","EG2950","CL813_24","E036_F120","1/12/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",4,"P",1,16,0,4,"SE","","Hot","CORT"
"16",2951,"B_28","f","E115_23","EG2951","CL813_24","E036_F120","1/12/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",1,"E",1,5,0,10,"S","","Hot","CORT"
"17",2952,"A_23","m","E1026_23","EG2952","CL813_24","E036_F120","1/12/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",3,"L",1,12,0,3,"S","","Cold","Control"
"18",2953,"B_23","m","E157_23","EG2953","CL813_24","E036_F120","1/12/2023","17/1/2024","17/3/2024",60,NA,"ALIVE",0,"",2,"L",1,12,0,3,"S","","Cold","CORT"
